,timestamp,sensor_id,range_sc,azimuth_sc,rcs,vr,vr_compensated,x_cc,y_cc,x_seq,y_seq,uuid,track_id,label_id
73,158195645746,2,18.291729,0.28926745,-18.755455,-4.1824636,0.07722531,21.954672,-3.3777306,3767.6875,-2645.4397,b'bf76f24872ff61c032d51b22c75c49b8',b'f99cd724d1b311e69736bcaec523183d',0
77,158195645746,2,20.424572,0.34579685,14.521302,-3.0984726,1.1918744,24.201195,-2.5436397,3765.6868,-2646.7588,b'68b2b15b11fd8b3cad04a8f29f3b720e',b'f99cd724d1b311e69736bcaec523183d',0
78,158195645746,2,21.867811,0.3822473,-5.8280897,-3.0017867,1.3010646,25.696009,-1.8789418,3764.3804,-2647.7434,b'6295719d3c671df73541562d1209696c',b'f99cd724d1b311e69736bcaec523183d',0
419,158195668862,3,20.447489,-0.5966403,18.738924,-3.046643,1.1861204,24.04423,-2.570582,3765.7312,-2646.725,b'b7f91c6ce439babea4b811e4dd45571c',b'f99cd724d1b311e69736bcaec523183d',0
420,158195668862,3,21.83992,-0.5940271,-2.5637221,-3.0462074,1.1884265,25.427788,-2.7369523,3764.3457,-2646.8752,b'c26a46278cb6f0eb2c6c90ed4a05834a',b'f99cd724d1b311e69736bcaec523183d',0
495,158195717630,2,20.679625,0.3352979,6.429381,-3.0588553,1.2075242,24.434473,-2.7827835,3765.0999,-2646.6677,b'0cca7208ae916929ad03ecc9836343f3',b'f99cd724d1b311e69736bcaec523183d',0
496,158195717630,2,21.419882,0.34919167,-5.254822,-3.065507,1.2070162,25.198881,-2.5610518,3764.4053,-2647.0566,b'c3264b0af12dec00eefcf65e720bce46',b'f99cd724d1b311e69736bcaec523183d',0
497,158195717630,2,22.259893,0.32138923,-8.624153,-3.0468256,1.2125787,25.973383,-3.2497475,3763.495,-2646.561,b'9c53233509d861188a4567a4abef0721',b'f99cd724d1b311e69736bcaec523183d',0
861,158195742246,3,20.261002,-0.59300673,18.533934,-3.0216696,1.1921248,23.871786,-2.4680598,3765.6206,-2646.8767,b'aac3ec2bcf735c257cfdc70c3bc20523',b'f99cd724d1b311e69736bcaec523183d',0
862,158195742246,3,21.419914,-0.57953966,-4.117476,-3.0155106,1.2074363,25.05963,-2.3640597,3764.487,-2647.247,b'a172439233154d184d2fa3623aeba112',b'f99cd724d1b311e69736bcaec523183d',0
863,158195742246,3,22.259912,-0.5854216,-8.717509,-2.995424,1.2236195,25.87188,-2.613749,3763.6394,-2647.1877,b'd4159cb21e56332e78ea3ef6ece05f0c',b'f99cd724d1b311e69736bcaec523183d',0
925,158195793827,2,19.87506,0.3441102,14.117578,-3.0467868,1.2041475,23.65087,-2.5274208,3765.6074,-2646.8235,b'fde7c47f28b28d3dac952b2e84012d04',b'f99cd724d1b311e69736bcaec523183d',0
926,158195793827,2,20.999887,0.34054992,-6.202525,-3.052672,1.1966765,24.763927,-2.7052796,3764.483,-2646.9028,b'787bafbf372bcd1d52459fb33535fa97',b'f99cd724d1b311e69736bcaec523183d',0
1304,158195816977,3,20.113354,-0.60897386,16.24368,-2.9891765,1.1867315,23.673208,-2.761762,3765.4417,-2646.6301,b'adb501da20e231cf982893bf9fe84d62',b'f99cd724d1b311e69736bcaec523183d',0
1305,158195816977,3,20.864943,-0.5588503,-11.559696,-3.7408173,0.4686632,24.567692,-1.8568215,3764.7761,-2647.7146,b'f0897464f47673d9c3f943aefee394ab',b'f99cd724d1b311e69736bcaec523183d',0
1306,158195816977,3,20.999922,-0.5917195,-2.0874753,-2.9878762,1.2007774,24.605827,-2.556898,3764.5798,-2647.0415,b'279bd90e9a8206183b2257c9deb732c3',b'f99cd724d1b311e69736bcaec523183d',0
1307,158195816977,3,21.839912,-0.58183867,-5.426039,-2.966278,1.2291131,25.46807,-2.4738252,3763.759,-2647.3184,b'a6fb1be3ec011748c43b6b78b3bcdb3d',b'f99cd724d1b311e69736bcaec523183d',0
